name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
batch_ids	batch identifiers	MIXS:0001382		Identifiers for any form of batch or 'group' that the samples is associated with, examples including: individual/skeleton ID, sediment core IDs, extract batch, library batch, sequencing run etc..  These IDs should always act as 'umbrella' IDs that allow association with entries processed together, to allow for downstream analyses of batch effects. Ideally, the information should indicate or specify what type of batch the ID is describing.	{'value': 'ExtrMG;LibMG;SeqMG'}	nucleic acid sequence source	identifiers	True		string	False	False			list any batch_ids the sample, nucleic acids, or library was associated with during processing and sequencing	
biocultural_label	biocultural label	MIXS:0001368		Relevant biocultural labels defined by the local contexts project (https://localcontexts.org/label/bc-provenance/) that describe in what ways this data can be reused, as permitted by any associated native or indigenous peoples or communities.	{'value': 'BC MC;BC CV'}	nucleic acid sequence source	ethics	True		BioCulturalLabelEnum	True	False			Relevant biocultural label from https://localcontexts.org/labels/biocultural-labels/	
capt_pcr_cyc_tot	post capture PCR reamplication cycles total	MIXS:0001395		Amplification cycles after capture enrichment total. Provide additional information about PCR conditions in pcr_cond	{'value': '12'}	sequencing		True		integer	False	False				
capt_probe_desc	capture probe design description	MIXS:0001397		Description of target enrichment probe designs used (e.g., species included, sequences, type, company). This can include custom kits (please provide a general description and DOI if available) or commercially available kit (provide ID and company).	{'value': 'Commercial RNA baits kit ABC001-EC from company TE-Science, purchased 2020'}	sequencing	library|enrichment	True		string	False	False	{text}		Description of probe set used for target enrichment/library selection (a.k.a. capture)	
capt_probe_src_taxid	Genomic capture probe source taxonomy IDs	MIXS:0001396		NCBI taxon ID(s) of all organisms included in the baits of a whole organelle or whole genome-level capture panel. There should be an (ideally) species level taxonomic ID entry for each organism that had sequences included in the design. If whole genera were targeted, you can instead use a single genus level taxonomic ID or that of any relevant higher taxonomic unit.	{'value': '9789'}	sequencing	sequencing|library|enrichment|capture	True		integer	False	False			Taxonomic IDs corresponding to organism(s) included in target enrichment (a.k.a. capture) probe design	
chrono_age_protocol	chronometric age protocol	MIXS:0001379		A description of or reference to the methods used to determine the earliest_chrono_age and latest_chrono_age.	{'value': 'historical records'}	nucleic acid sequence source		True		ChronoAgeProtocolEnum	True	False				
chrono_age_remarks	chronometric age remarks	MIXS:0001380		Notes or comments about the  earliest_chrono_age and latest_chrono_age. For more detail use Chronometric Age Protocol to point to original publication describing method. Useful to specify confidence and/or accuracy of reported date.	{'value': 'radiocarbon age ID: OxA-12345'}	nucleic acid sequence source		False		string	True	False				
context_retrieval_date	date of retrieval from depositional context	MIXS:0001363		Date of excavation or retrieval from burial or depositional context, if known. If excavations were done during a  longer period, report its midpoint at a month or year level. In case no exact time is available, the date can be  right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23;  2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.	{'value': '2001-09-25'}	environment				datetime	True	False				year
cultural_era	cultural era or period	MIXS:0001373		The cultural era approximating to the period in which the archaeological remains existed in. Where possible use terms from ontologies such as Chronontology (https://chronontology.dainst.org/) or PeriodO (https://perio.do/en/).	{'value': 'Not collected'}	nucleic acid sequence source	ancient|age	False		string	False	False	{termLabel} [{termID}]|{text}		chronotology or PeriodO term; text	
damage_treatment	damage treatment type	MIXS:0001385		Indication of whether characteristic ancient DNA damage has been altered or removed from a DNA extract in a laboratory. If damage has been removed, but whether it was fully or partially removed is unknown (e.g. with UDG treatment) - specify 'other', and describe known information in `sop_experimental` and related free text descriptive terms.	{'value': 'partial-removal'}	sequencing	ancient	False		DamageTreatmentEnum	True	True			enumeration	
data_preproc_desc	description of sequencing reads preprocessing	MIXS:0001398		Description of preprocessing performed on the reads in the sequencing data file. Describe any in silico processing or modification of the sequencing reads away from the original state as received from the sequencer. This should include details such as adapter-, barcode-, and/or quality- trimming, or any filtering such as for read length or of off-target reads.	{'value': 'Demultiplexed with bcl2fastq, inline barcodes removed, and reads quality filtered with fastp (v1.0.0).'}	sequencing	data analysis|data	False		string	True	False			description of any modifications to data away from original raw files	
earliest_chrono_age	earliest chronometric age	MIXS:0001375		The maximum/earliest/oldest possible age of a specimen as determined by a dating method. If multiple dating measurements available, use the most earliest/oldest date to provide widest range of age possibilities. The specific age unit should be specified by the term earliest_chrono_sys. More information on specific dates (e.g. radiocarbon lab codes) can be specified in the term chrono_age_remarks.	{'value': '1900'}	nucleic acid sequence source		False		integer	True	True			age value corresponding to unit	
earliest_chrono_sys	earliest chronometric age reference system	MIXS:0001376		The reference system associated with the earliest_chrono_age.	{'value': 'ka'}	nucleic acid sequence source		False		ChronoAgeSysEnum	True	True				
geological_epoch	geological epoch	MIXS:0001374		The geological epoch approximating to the period within which the specimen or sample existed. Where possible use terms from ontologies. NOTE: This term is for geological timescales. For more precise or anthropogenic defined periods, use `Cultural Era`.	{'value': 'Pliocene'}	nucleic acid sequence source	ancient|age	False		GeolEpochEnum	False	False			ontology term; text	
host_preserv_state	preservation state of sampled host at death	MIXS:0001371		Description of the state of the sampled (ancient) organism/host as originally  preserved in the burial environment at the time of or immediately following death. This can be both natural or artificial, such as mummification or burning for funerary purposes.	{'value': 'fully skeletonised.'}	nucleic acid sequence source	ancient	False		string	False	False	{text}		Description of the preservation of the sampled (ancient) organism/host at time/immediately after death.	
latest_chrono_age	latest chronometric age	MIXS:0001377		The minimum/latest/youngest possible age of a specimen as determined by a dating method. If multiple dating measurements available, use the most latest/youngest date to provide widest range of age possibilities. The specific age unit should be specified by the term latest_chrono_sys. More information on specific dates (e.g. radiocarbon lab codes) can be specified in the term chrono_age_remarks.	{'value': '1700'}	nucleic acid sequence source		False		integer	True	True			age value corresponding to unit	
latest_chrono_sys	latest chronometric age reference system	MIXS:0001378		The reference system associated with the latest_chrono_age.	{'value': 'ka'}	nucleic acid sequence source		False		ChronoAgeSysEnum	True	True				
lib_gener_technique	library generation technique	MIXS:0001392		The technique used to generate the library, i.e., amplicon, enriched, or shotgun. An amplicon library is a library that has been amplified to target a single specific region of a genome (e.g. a specific gene). An enriched library is a library that has had a particular genome or multiple genomic regions/positions 'captured' or enriched typically via baits/probes. A shotgun library has undergone no type of targeted amplification/enrichment for a particular genomic region or genome, i.e., random sequencing of any nucleic acid molecule contained in a genomic library.	{'value': 'enriched'}	sequencing	library|preparation			LibTypeEnum	True	False				
lib_mid_desc	description of library multiplex identifiers or indexing configuration	MIXS:0001388		Index/barcode/primer configuration used during library building for sequencing. This includes information such as the number, type and location of indexes, the index/primer kit/list, or if 'inline' barcodes or UMIs were ligated directly onto the template molecules.	{'value': 'UDI index sequences.'}	sequencing	library|preparation	True		string	True	False	{text}		Description of the indexing configuration of the library	
lib_polymerase	library polymerase	MIXS:0001390		The polymerase enzyme used for building nucleic acid libraries. Include formal identifier e.g. SKU or the manufacturers name at minimum.	{'value': 'AmpliTaq Gold DNA Polymerase'}	sequencing	polymerase|library|preparation			string	True	False	{text}		name of polymerase used during library construction	
lib_strandedness	nucleic acid strandedness in library creation	MIXS:0001391		The strandedness of the original template nucleic acid molecules used for constructing the sequencing library	{'value': 'double'}	sequencing	library|preparation	True		LibStrandEnum	True	True			nucleic acid library strandedness	
library_name	library name	MIXS:0001389		Any ID or name used for referring to a nucleic acid sequencing library associated with the sample.	{'value': 'A003-1-SG1'}	sequencing	sequencing	True		string	True	False			name of sequencing library	
nucl_acid_extr_date	date of extraction of nucleic acids from sample	MIXS:0001386		The date when the nucleic acid extraction was started from the sample material. In case no exact time is available, the date can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2023-12-01'}	nucleic acid sequence source				datetime	False	False				
